Fecha,Acapulco,CDMX,Cancun,Chihuahua,Empalme,Guadalajara,Zacatecas,Mazatlan,Manzanillo,Monterrey,LaPaz,Tucson,Veracruz,Merida
01/01/1980,NA,11.77,NA,6.05,8.56,10.02,NA,14.05,24.95,11.57,NA,5.15,32.74,17.24
02/01/1980,NA,12.31,NA,5.1,11.44,14.22,NA,20.2,28.06,6.38,NA,8.87,27.71,16.26
03/01/1980,NA,10.63,NA,8.14,9.01,11.7,NA,19.99,20.82,22.5,NA,5.1,29.78,19.04
04/01/1980,NA,7.23,NA,5.46,10.05,NA,NA,22.77,20.25,8.44,NA,5.64,33.51,31.82
05/01/1980,NA,6.54,NA,5.39,9.87,4.33,NA,17.72,14.66,9.61,NA,4.66,24.17,13.16
06/01/1980,NA,7.4,NA,5.35,9.58,6.73,NA,18.07,19.64,11.14,NA,6.19,24.27,14.97
07/01/1980,NA,6.73,NA,5.57,8.55,12,NA,18.49,23.94,8.56,NA,7.29,19.58,24.06
08/01/1980,NA,12.45,NA,3.92,6.84,13.25,NA,22.01,20.57,13.45,NA,13.61,35.58,21.92
09/01/1980,NA,11.49,NA,7.17,10.43,11.27,NA,NA,19.03,10.34,NA,14.8,34.14,35.99
10/01/1980,NA,12.72,NA,12.61,23.43,6.85,NA,16.54,19.65,14.42,NA,17.74,28.65,40.42
11/01/1980,NA,7.04,NA,11.71,21.58,6.51,NA,18.04,16.17,NA,NA,23.81,24.7,30.82
12/01/1980,NA,8.27,NA,10.2,19.89,5,NA,18.34,24.28,18.59,NA,19.66,29.6,31.41
13/01/1980,NA,9.88,NA,15.12,NA,12.7,NA,19.8,22.43,9.55,NA,18.1,29.9,30.83
14/01/1980,NA,10.54,NA,12.09,22.03,11.52,NA,25.48,23.56,17.23,NA,20.98,28.45,33.4
15/01/1980,NA,10.9,NA,16.42,16.74,13.07,NA,20.11,NA,17.69,NA,13.86,20.81,32.09
16/01/1980,NA,12.33,NA,9.17,15.28,10.44,NA,15.85,21.18,20.44,NA,12.59,28.96,23.11
17/01/1980,NA,8.42,NA,8.19,12.44,11.71,NA,17.62,17.68,22.25,NA,10.89,38.04,43.52
18/01/1980,NA,10.69,NA,8.31,11.88,12.12,NA,14.36,24.54,17.46,NA,17.6,34.67,43.91
19/01/1980,NA,8.33,NA,8.29,23.74,13.26,NA,16.34,23.06,19.31,NA,14.02,38.34,36.38
20/01/1980,NA,15.5,NA,7.74,11.41,14.34,NA,24.02,27.71,19.18,NA,8.36,45.32,34.7
21/01/1980,NA,17.75,NA,12.16,11.27,22.73,NA,25.9,37.18,30.15,NA,13.92,42.85,33.24
22/01/1980,NA,16.3,NA,4.64,15.11,20.01,NA,25.27,40.74,NA,NA,13.88,37.94,32.61
23/01/1980,NA,21.69,NA,6.49,8.79,19.01,NA,20.72,47.22,6.42,NA,5.92,40.13,39
24/01/1980,NA,19.35,NA,4.23,9.94,24.41,NA,37.84,45.97,8.67,NA,3.13,28.23,30.49
25/01/1980,NA,15.95,NA,6.16,17.62,21.43,NA,22.55,41.92,NA,NA,3.91,33.53,NA
26/01/1980,NA,17.16,NA,6.37,10.8,11.15,NA,23.27,21.97,NA,NA,7.59,43.18,24.74
27/01/1980,NA,10.14,NA,5.91,10.2,8.69,NA,19.24,18.4,13.12,NA,7.31,31.15,41.51
28/01/1980,NA,7.45,NA,4.97,17.11,11.33,NA,20.7,22.83,13.8,NA,9.16,34.58,30.17
29/01/1980,NA,7.44,NA,NA,22,8.3,NA,15.62,21.18,19.48,NA,18.2,31.59,40.29
30/01/1980,NA,9.91,NA,11.27,25.29,10.3,NA,21.27,14.88,NA,NA,21.22,31.8,36.83
31/01/1980,NA,12.32,NA,18.85,29.95,11.2,NA,21.15,19.35,16.77,NA,24.26,29.32,28.89
01/02/1980,NA,12.4,NA,19.59,28.59,13.41,NA,22.03,20.87,18.93,NA,20.04,28.35,39.67
02/02/1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/02/1980,NA,9.3,NA,7.16,10.14,12.16,NA,25.4,18.57,12.11,NA,6.61,29.96,26.07
04/02/1980,NA,6.17,NA,8.61,12.12,8.21,NA,18.19,26.04,8.94,NA,6.91,20.33,20.93
05/02/1980,NA,4.78,NA,10.83,13.9,7.77,NA,NA,28.54,9.77,NA,8.16,20.32,16.02
06/02/1980,NA,6.64,NA,8.18,12.42,10.75,NA,NA,22.74,13.92,NA,10.94,26.77,23.75
07/02/1980,NA,6.87,NA,9.8,11.18,12.45,NA,17.34,NA,14.42,NA,6.78,24.83,19.27
08/02/1980,NA,8.95,NA,6.85,19.69,10.78,NA,26.71,23.2,8.65,NA,12.2,NA,NA
09/02/1980,NA,13.49,NA,6.78,9.11,14.1,NA,17.98,19.51,11.17,NA,9.68,33.13,41.19
10/02/1980,NA,13.43,NA,9.25,10.78,NA,NA,18.22,23.74,9.79,NA,4.93,29.35,31.35
11/02/1980,NA,8.46,NA,9.52,6.63,NA,NA,NA,29.49,20.38,NA,7.2,26.75,27.68
12/02/1980,NA,11.52,NA,8.52,15.31,17.54,NA,35.78,35.46,27.59,NA,6.11,30.65,29.7
13/02/1980,NA,16.86,NA,8.48,26.95,19.3,NA,25.8,41.91,24.81,NA,17.83,30.52,43.28
14/02/1980,NA,11.52,NA,11.45,24.08,13.67,NA,31.91,35.56,22.93,NA,22.25,37.34,35.23
15/02/1980,NA,8.37,NA,13.38,27.93,9.56,NA,25.27,27.59,6.4,NA,21.78,27.25,39.86
16/02/1980,NA,8.62,NA,7.9,20.86,12.96,NA,18.4,30.55,20.13,NA,14.19,16.38,31.46
17/02/1980,NA,9.06,NA,12.91,31.17,11.56,NA,29.52,26.49,15.67,NA,15.3,30.93,39.25
18/02/1980,NA,8.12,NA,11.39,22.94,9.7,NA,27.78,29.04,20.42,NA,16.59,29.31,39.27
19/02/1980,NA,13.93,NA,9.59,29.12,12.9,NA,28.7,29.38,12.42,NA,18.86,22.26,22.38
20/02/1980,NA,10.73,NA,7.26,18.58,11.95,NA,27.94,32.94,14.67,NA,12.55,23.55,23.6
21/02/1980,NA,7.35,NA,6,19.8,8.18,NA,16.54,33.12,11.47,NA,16.7,22.46,20.41
22/02/1980,NA,9.17,NA,7.63,18.3,12.34,NA,14.5,33.67,12.59,NA,8.18,NA,17.4
23/02/1980,NA,10.01,NA,9.77,11.21,13.86,NA,12.5,24.32,20.87,NA,7.26,22.75,20.38
24/02/1980,NA,11.37,NA,8.79,9.4,11.22,NA,12.73,23.3,21.45,NA,5.6,31.51,27.28
25/02/1980,NA,13.41,NA,8.34,6.5,14.31,NA,20.33,21.75,22.05,NA,5.6,33.4,31.88
